id,volumen,expresión,dominio_fuente,dominio_meta,metáfora,volumen_norm,expresion_norm,dominio_fuente_norm,dominio_meta_norm,metafora_norm,expresion_len
CAAM_39_8,Colombia adentro: Amazonía,La subsistencia de estas poblaciones ha estado bajo amenaza,AMENAZADO,ABAJO,ABAJO ES AMANEZADO,colombia adentro: amazonía,la subsistencia de estas poblaciones ha estado bajo amenaza,amenazado,abajo,abajo es amanezado,59
CAAM_60_17,Colombia adentro: Amazonía,Iglesia católica siguió haciendo presencia y participó en el impulso colonizador bajo la dirección del Vicariato Apostólico del Caquetá,CONTROL,ABAJO,ABAJO ES CONTROL,colombia adentro: amazonía,iglesia católica siguió haciendo presencia y participó en el impulso colonizador bajo la dirección del vicariato apostólico del caquetá,control,abajo,abajo es control,135
CAAM_44_12,Colombia adentro: Amazonía,esta frontera estuvo bajo el dominio de las casas caucheras con la anuencia de los Estados,EL SOMETIMIENTO,ABAJO,ABAJO ES EL SOMETIMIENTO,colombia adentro: amazonía,esta frontera estuvo bajo el dominio de las casas caucheras con la anuencia de los estados,el sometimiento,abajo,abajo es el sometimiento,90
CAAM_52_39,Colombia adentro: Amazonía,por lo que la identidad cultural de muchos de ellos seguiría bajo amenaza.,EL SOMETIMIENTO,ABAJO,ABAJO ES EL SOMETIMIENTO,colombia adentro: amazonía,por lo que la identidad cultural de muchos de ellos seguiría bajo amenaza.,el sometimiento,abajo,abajo es el sometimiento,74
CAAM_54_19,Colombia adentro: Amazonía,"A pesar de que ya no se exportaba en grandes cantidades, debido al bajo costo y mejor calidad del caucho del Sudeste Asiático.",MENOR,ABAJO,ABAJO ES MENOR,colombia adentro: amazonía,"a pesar de que ya no se exportaba en grandes cantidades, debido al bajo costo y mejor calidad del caucho del sudeste asiático.",menor,abajo,abajo es menor,126
CAAM_40_3,Colombia adentro: Amazonía,[object Object],MENOS,ABAJO,ABAJO ES MENOS,colombia adentro: amazonía,[object object],menos,abajo,abajo es menos,15
CAAM_69_17,Colombia adentro: Amazonía,"El comercio se cayó, ya no vinieron a comprar ni nada y bajó mucho»",MENOS,ABAJO,ABAJO ES MENOS,colombia adentro: amazonía,"el comercio se cayó, ya no vinieron a comprar ni nada y bajó mucho»",menos,abajo,abajo es menos,67
CAAM_69_19,Colombia adentro: Amazonía,"El comercio se cayó, ya no vinieron a comprar ni nada y bajó mucho»",MENOS,ABAJO,ABAJO ES MENOS,colombia adentro: amazonía,"el comercio se cayó, ya no vinieron a comprar ni nada y bajó mucho»",menos,abajo,abajo es menos,67
CAAM_87_13,Colombia adentro: Amazonía,los miembros de la nueva coalición quedaron en una situación de alto riesgo,MENOS,ABAJO,ABAJO ES MENOS,colombia adentro: amazonía,los miembros de la nueva coalición quedaron en una situación de alto riesgo,menos,abajo,abajo es menos,75
CAAM_29_2,Colombia adentro: Amazonía,fueron asesinados y presentados ilegítimamente como bajas en combate,MUERTE,ABAJO,ABAJO ES MUERTE/ARRIBA ES VIDA,colombia adentro: amazonía,fueron asesinados y presentados ilegítimamente como bajas en combate,muerte,abajo,abajo es muerte/arriba es vida,68
CAAM_71_2,Colombia adentro: Amazonía,se empieza a rumorar bajitamente y entre algunos pocos por ahí.,SILENCIO,ABAJO,ABAJO ES SILENCIO,colombia adentro: amazonía,se empieza a rumorar bajitamente y entre algunos pocos por ahí.,silencio,abajo,abajo es silencio,63
CAAM_21_50,Colombia adentro: Amazonía,la reconstrucción [...] abre la puerta a la posibilidad de que las partes enfrentadas en el conflicto [...] puedan verse como oponentes políticos,LA POSIBILIDAD DE ACPETACIÓN DE LAS PARTES SOBRE SU ROL EN EL CONFLICTO Y LOS PROCEDIMIENTOS LEGALES,ABRIR LA PUERTA,ABRIR LA PUERTA ES LA POSIBILIDAD DE ACEPTACIÓN DE LOS ACTORES DEL CONFLICTO SOBRE SU ROL EN EL CONFLICTO Y LOS PROCEDIMIENTOS LEGALES,colombia adentro: amazonía,la reconstrucción [...] abre la puerta a la posibilidad de que las partes enfrentadas en el conflicto [...] puedan verse como oponentes políticos,la posibilidad de acpetación de las partes sobre su rol en el conflicto y los procedimientos legales,abrir la puerta,abrir la puerta es la posibilidad de aceptación de los actores del conflicto sobre su rol en el conflicto y los procedimientos legales,145
CAAM_68_14,Colombia adentro: Amazonía,la movilización social. Y esta se acentuó con la entrada en vigencia del mencionado Estatuto de Seguridad,INTENSIFICAR,ACENTUAR UNA PALABRA,ACENTUAR UNA PALABRA ES INTENSIFICAR,colombia adentro: amazonía,la movilización social. y esta se acentuó con la entrada en vigencia del mencionado estatuto de seguridad,intensificar,acentuar una palabra,acentuar una palabra es intensificar,105
TERR_INTRO_108,Colombia adentro: Ensayo introductorio,El traslado de la competencia política al interior de los partidos ,OBJETOS,ACTIVIDADES POLÍTICAS,ACTIVIDADES POLÍTICAS SON OBJETOS,colombia adentro: ensayo introductorio,el traslado de la competencia política al interior de los partidos,objetos,actividades políticas,actividades políticas son objetos,67
CAAM_40_19,Colombia adentro: Amazonía,"la frontera amazónica es un territorio de altas conflictividades sociales y económicas,",MÁS,ALTO,ALTO ES MÁS,colombia adentro: amazonía,"la frontera amazónica es un territorio de altas conflictividades sociales y económicas,",más,alto,alto es más,87
CAAM_57_20,Colombia adentro: Amazonía,los rumores sobre los altos salarios eran seductores,MEJOR,ALTO,ALTO ES MEJOR,colombia adentro: amazonía,los rumores sobre los altos salarios eran seductores,mejor,alto,alto es mejor,52
CAAM_58_15,Colombia adentro: Amazonía,"Hay mucha gente que se aprovecha de las mujeres y todo eso, como medio de negocio.",UN CAMINO,APROVECHARSE DE LAS MUJERES,APROVECHARSE DE LAS MUJERES ES UN CAMINO,colombia adentro: amazonía,"hay mucha gente que se aprovecha de las mujeres y todo eso, como medio de negocio.",un camino,aprovecharse de las mujeres,aprovecharse de las mujeres es un camino,82
CAAM_39_9,Colombia adentro: Amazonía,La subsistencia de estas poblaciones ha estado bajo amenaza,AMENAZADOR,ARRIBA,ARRIBA ES AMENAZADOR,colombia adentro: amazonía,la subsistencia de estas poblaciones ha estado bajo amenaza,amenazador,arriba,arriba es amenazador,59
CAAM_61_15,Colombia adentro: Amazonía,(el ILV) control político informativo sobre sitios estratégicos que conforman un anillo en el país,CONTROL,ARRIBA,ARRIBA ES CONTROL,colombia adentro: amazonía,(el ilv) control político informativo sobre sitios estratégicos que conforman un anillo en el país,control,arriba,arriba es control,98
CAAM_69_18,Colombia adentro: Amazonía,"El comercio se cayó, ya no vinieron a comprar ni nada y bajó mucho»",MÁS,ARRIBA,ARRIBA ES MÁS,colombia adentro: amazonía,"el comercio se cayó, ya no vinieron a comprar ni nada y bajó mucho»",más,arriba,arriba es más,67
CAAM_69_20,Colombia adentro: Amazonía,"El comercio se cayó, ya no vinieron a comprar ni nada y bajó mucho»",MÁS,ARRIBA,ARRIBA ES MÁS,colombia adentro: amazonía,"el comercio se cayó, ya no vinieron a comprar ni nada y bajó mucho»",más,arriba,arriba es más,67
CAAM_87_12,Colombia adentro: Amazonía,los miembros de la nueva coalición quedaron en una situación de alto riesgo,MÁS,ARRIBA,ARRIBA ES MÁS,colombia adentro: amazonía,los miembros de la nueva coalición quedaron en una situación de alto riesgo,más,arriba,arriba es más,75
MCVE_m_48_1,Mi cuerpo es la verdad,Ante la escalada de la violencia en la cabecera municipal y en la montaña.,MÁS,ARRIBA,MÁS ES ARRIBA,mi cuerpo es la verdad,ante la escalada de la violencia en la cabecera municipal y en la montaña.,más,arriba,más es arriba,74
CAAM_53_15,Colombia adentro: Amazonía,"Para lo cual tenía seis objetivos que, en síntesis, buscaban lo siguiente: [...] elevar las condiciones de vida de los campesinos",MEJOR,ARRIBA,ARRIBA ES MEJOR,colombia adentro: amazonía,"para lo cual tenía seis objetivos que, en síntesis, buscaban lo siguiente: [...] elevar las condiciones de vida de los campesinos",mejor,arriba,arriba es mejor,129
CAAM_29_12,Colombia adentro: Amazonía,"Borja afirmó: «nos creíamos dioses, no había justicia por encima de nosotros».",PODER,ARRIBA,ARRIBA ES PODER,colombia adentro: amazonía,"borja afirmó: «nos creíamos dioses, no había justicia por encima de nosotros».",poder,arriba,arriba es poder,78
CAAM_46_17,Colombia adentro: Amazonía,impuso [la dinámica de evangelización] la figura de un dios desconocido para ellos e interrumpió su autonomía en tanto perdieron la capacidad de decisión sobre sus propios destinos,POSESIÓN,ARRIBA,ARRIBA ES POSESIÓN,colombia adentro: amazonía,impuso [la dinámica de evangelización] la figura de un dios desconocido para ellos e interrumpió su autonomía en tanto perdieron la capacidad de decisión sobre sus propios destinos,posesión,arriba,arriba es posesión,180
HALL_159,Hallazgos y Recomendaciones,"Por su parte, el exterminio de grupos políticos y partidos de oposición, especialmente a partir de los años ochenta, a pesar de ser evidentes, se negaron o se vieron como algo inevitable y justificable, o se miró para otro lado cuando aconteció.",VER,ATENDER,ATENDER ES VER,hallazgos y recomendaciones,"por su parte, el exterminio de grupos políticos y partidos de oposición, especialmente a partir de los años ochenta, a pesar de ser evidentes, se negaron o se vieron como algo inevitable y justificable, o se miró para otro lado cuando aconteció.",ver,atender,atender es ver,245
MCVE_f_246_1,Mi cuerpo es la verdad,la llegada a Bogotá abrió sus horizontes al desarrollo de sus liderazgos o potenció los que ya traían,UNA PUERTA,BOGOTÁ,BOGOTÁ ES UNA PUERTA,mi cuerpo es la verdad,la llegada a bogotá abrió sus horizontes al desarrollo de sus liderazgos o potenció los que ya traían,una puerta,bogotá,bogotá es una puerta,101
MCVE_m_45_3,Mi cuerpo es la verdad,Con algunos comandantes y guerrilleros se tejieron lazos de simpatía.,TEJER,COLABORAR,COLABORAR ES TEJER,mi cuerpo es la verdad,con algunos comandantes y guerrilleros se tejieron lazos de simpatía.,tejer,colaborar,colaborar es tejer,69
CAAM_28_23,Colombia adentro: Amazonía,[object Object],UN CAMINO,COLOMBIA,COLOMBIA ES UN CAMINO,colombia adentro: amazonía,[object object],un camino,colombia,colombia es un camino,15
